old	new	0.7831598033684375
smart	intelligent	0.9980566839701188
hard	difficult	0.9816278523620391
happy	cheerful	0.9915923778801157
hard	easy	0.9895902947742121
fast	rapid	0.993293519614777
happy	glad	0.9930484007080483
short	long	0.9487924158390475
stupid	dumb	0.99958574659909
weird	strange	0.9962738934250783
wide	narrow	0.9821809306253805
bad	awful	0.9804518650001679
easy	difficult	0.9808745307142818
bad	terrible	0.9908480079817961
hard	simple	0.9814093571628565
smart	dumb	0.9975473040649168
insane	crazy	0.9997141724336216
happy	mad	0.9975901215014521
large	huge	0.9021071576332497
hard	tough	0.9783455846871861
new	fresh	0.7685296261866503
sharp	dull	0.9925360744204572
quick	rapid	0.9944465577142322
dumb	foolish	0.9998745521606064
wonderful	terrific	0.9963330063550672
strange	odd	0.9984900818675011
happy	angry	0.9975110081771229
narrow	broad	0.9961667595661244
simple	easy	0.9835933093567079
old	fresh	0.95247892922986
apparent	obvious	0.996346396549202
inexpensive	cheap	0.9991512199844511
nice	generous	0.9993519917029099
weird	normal	0.96634790780364
weird	odd	0.9956503475899406
bad	immoral	0.9838639256785732
sad	funny	0.9995130638716262
wonderful	great	0.9178367814999536
guilty	ashamed	0.9924087099931241
beautiful	wonderful	0.9952915915768392
confident	sure	0.9951031138892894
dumb	dense	0.9925415767168604
large	big	0.9040706043530882
nice	cruel	0.9992336667391908
impatient	anxious	0.9993642360987568
big	broad	0.9891203078504613
strong	proud	0.9536639217550616
unnecessary	necessary	0.9719760044879796
restless	young	0.9433102572031731
dumb	intelligent	0.993941596948537
bad	great	0.9418522915795714
difficult	simple	0.9777792477450292
necessary	important	0.9523116185035674
bad	terrific	0.9764458620324118
mad	glad	0.997136707759014
honest	guilty	0.9960441785900599
easy	tough	0.9898592811531542
easy	flexible	0.9935505177731363
certain	sure	0.9618111397942648
essential	necessary	0.9856408181410025
different	normal	0.8891474630923384
sly	clever	0.9979425337268403
crucial	important	0.93557981962848
harsh	cruel	0.9975746428027258
childish	foolish	0.9997065901367471
scarce	rare	0.9862868954201535
friendly	generous	0.9974527509411285
fragile	frigid	0.9965235411110853
long	narrow	0.9249858817822159
big	heavy	0.9826249800959405
rough	frigid	0.9903785699444813
bizarre	strange	0.9966639895074465
illegal	immoral	0.9884891338759828
bad	guilty	0.994202729148343
modern	ancient	0.9569389259818512
new	ancient	0.7766811096976428
dull	funny	0.9994241641225393
happy	young	0.9679512258759163
easy	big	0.9900337057429697
great	awful	0.9006578456459229
tiny	huge	0.9943957858129112
polite	proper	0.9821509567961213
modest	ashamed	0.9960748732521791
exotic	rare	0.9869043933848445
dumb	clever	0.999213925430254
delightful	wonderful	0.996329312836505
noticeable	obvious	0.9967116088757618
afraid	anxious	0.9984967685262698
formal	proper	0.9914218445565316
dreary	dull	0.9965003501505746
delightful	cheerful	0.9995479424793492
unhappy	mad	0.999004039895602
sad	terrible	0.9988422356333646
sick	crazy	0.9981379642181262
violent	angry	0.9964820332439114
laden	heavy	0.9674313490364442
dirty	cheap	0.9984523294325304
elastic	flexible	0.9977407136417548
hard	dense	0.9845115986249869
recent	new	0.7837384403162972
bold	proud	0.999426009573418
sly	strange	0.9919353805444886
strange	sly	0.9919353805444886
